edgeID,n1,n2,cellL,cellR,length
0,0,1,0,-1,0.1111111111111111
1,1,11,0,1,0.1111111111111111
2,11,10,0,9,0.1111111111111111
3,10,0,0,-1,0.1111111111111111
4,1,2,1,-1,0.1111111111111111
5,2,12,1,2,0.1111111111111111
6,12,11,1,10,0.1111111111111111
7,2,3,2,-1,0.1111111111111111
8,3,13,2,3,0.1111111111111111
9,13,12,2,11,0.1111111111111111
10,3,4,3,-1,0.1111111111111111
11,4,14,3,4,0.1111111111111111
12,14,13,3,12,0.1111111111111111
13,4,5,4,-1,0.11111111111111116
14,5,15,4,5,0.1111111111111111
15,15,14,4,13,0.11111111111111116
16,5,6,5,-1,0.11111111111111105
17,6,16,5,6,0.1111111111111111
18,16,15,5,14,0.11111111111111105
19,6,7,6,-1,0.11111111111111105
20,7,17,6,7,0.1111111111111111
21,17,16,6,15,0.11111111111111105
22,7,8,7,-1,0.11111111111111116
23,8,18,7,8,0.1111111111111111
24,18,17,7,16,0.11111111111111116
25,8,9,8,-1,0.11111111111111116
26,9,19,8,-1,0.1111111111111111
27,19,18,8,17,0.11111111111111116
28,11,21,9,10,0.1111111111111111
29,21,20,9,18,0.1111111111111111
30,20,10,9,-1,0.1111111111111111
31,12,22,10,11,0.1111111111111111
32,22,21,10,19,0.1111111111111111
33,13,23,11,12,0.1111111111111111
34,23,22,11,20,0.1111111111111111
35,14,24,12,13,0.1111111111111111
36,24,23,12,21,0.1111111111111111
37,15,25,13,14,0.1111111111111111
38,25,24,13,22,0.11111111111111116
39,16,26,14,15,0.1111111111111111
40,26,25,14,23,0.11111111111111105
41,17,27,15,16,0.1111111111111111
42,27,26,15,24,0.11111111111111105
43,18,28,16,17,0.1111111111111111
44,28,27,16,25,0.11111111111111116
45,19,29,17,-1,0.1111111111111111
46,29,28,17,26,0.11111111111111116
47,21,31,18,19,0.1111111111111111
48,31,30,18,27,0.1111111111111111
49,30,20,18,-1,0.1111111111111111
50,22,32,19,20,0.1111111111111111
51,32,31,19,28,0.1111111111111111
52,23,33,20,21,0.1111111111111111
53,33,32,20,29,0.1111111111111111
54,24,34,21,22,0.1111111111111111
55,34,33,21,30,0.1111111111111111
56,25,35,22,23,0.1111111111111111
57,35,34,22,31,0.11111111111111116
58,26,36,23,24,0.1111111111111111
59,36,35,23,32,0.11111111111111105
60,27,37,24,25,0.1111111111111111
61,37,36,24,33,0.11111111111111105
62,28,38,25,26,0.1111111111111111
63,38,37,25,34,0.11111111111111116
64,29,39,26,-1,0.1111111111111111
65,39,38,26,35,0.11111111111111116
66,31,41,27,28,0.1111111111111111
67,41,40,27,36,0.1111111111111111
68,40,30,27,-1,0.1111111111111111
69,32,42,28,29,0.1111111111111111
70,42,41,28,37,0.1111111111111111
71,33,43,29,30,0.1111111111111111
72,43,42,29,38,0.1111111111111111
73,34,44,30,31,0.1111111111111111
74,44,43,30,39,0.1111111111111111
75,35,45,31,32,0.1111111111111111
76,45,44,31,40,0.11111111111111116
77,36,46,32,33,0.1111111111111111
78,46,45,32,41,0.11111111111111105
79,37,47,33,34,0.1111111111111111
80,47,46,33,42,0.11111111111111105
81,38,48,34,35,0.1111111111111111
82,48,47,34,43,0.11111111111111116
83,39,49,35,-1,0.1111111111111111
84,49,48,35,44,0.11111111111111116
85,41,51,36,37,0.11111111111111116
86,51,50,36,45,0.1111111111111111
87,50,40,36,-1,0.11111111111111116
88,42,52,37,38,0.11111111111111116
89,52,51,37,46,0.1111111111111111
90,43,53,38,39,0.11111111111111116
91,53,52,38,47,0.1111111111111111
92,44,54,39,40,0.11111111111111116
93,54,53,39,48,0.1111111111111111
94,45,55,40,41,0.11111111111111116
95,55,54,40,49,0.11111111111111116
96,46,56,41,42,0.11111111111111116
97,56,55,41,50,0.11111111111111105
98,47,57,42,43,0.11111111111111116
99,57,56,42,51,0.11111111111111105
100,48,58,43,44,0.11111111111111116
101,58,57,43,52,0.11111111111111116
102,49,59,44,-1,0.11111111111111116
103,59,58,44,53,0.11111111111111116
104,51,61,45,46,0.11111111111111105
105,61,60,45,54,0.1111111111111111
106,60,50,45,-1,0.11111111111111105
107,52,62,46,47,0.11111111111111105
108,62,61,46,55,0.1111111111111111
109,53,63,47,48,0.11111111111111105
110,63,62,47,56,0.1111111111111111
111,54,64,48,49,0.11111111111111105
112,64,63,48,57,0.1111111111111111
113,55,65,49,50,0.11111111111111105
114,65,64,49,58,0.11111111111111116
115,56,66,50,51,0.11111111111111105
116,66,65,50,59,0.11111111111111105
117,57,67,51,52,0.11111111111111105
118,67,66,51,60,0.11111111111111105
119,58,68,52,53,0.11111111111111105
120,68,67,52,61,0.11111111111111116
121,59,69,53,-1,0.11111111111111105
122,69,68,53,62,0.11111111111111116
123,61,71,54,55,0.11111111111111105
124,71,70,54,63,0.1111111111111111
125,70,60,54,-1,0.11111111111111105
126,62,72,55,56,0.11111111111111105
127,72,71,55,64,0.1111111111111111
128,63,73,56,57,0.11111111111111105
129,73,72,56,65,0.1111111111111111
130,64,74,57,58,0.11111111111111105
131,74,73,57,66,0.1111111111111111
132,65,75,58,59,0.11111111111111105
133,75,74,58,67,0.11111111111111116
134,66,76,59,60,0.11111111111111105
