cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
0,0.491287259574047,-0.0303030303030307,319,154,155,253,-1,345,-0.501503756751635,-0.865155466932965,1.0,-0.0,-0.501503756751628,0.865155466932969
1,0.0162355834566133,0.20771607163956,183,7,49,258,-1,274,-0.828444622982244,0.560070983583159,-0.0787002536527958,-0.996898324843103,0.894343530010512,0.447380878366896
2,0.181818181818181,-0.491287259574047,295,120,121,117,-1,235,-0.865155466932964,0.501503756751637,0.0,-1.0,0.865155466932969,0.501503756751629
3,-0.46514903829619,0.0757575757575763,419,255,256,488,175,68,0.50150375675163,0.865155466932968,-1.0,-0.0,0.501503756751633,-0.865155466932966
4,-0.0606060606060609,-0.456436297870237,447,287,448,607,512,952,-0.865155466932967,-0.501503756751632,0.865155466932967,-0.501503756751632,0.0,1.0
5,-0.207759560015739,-0.0158370883638063,173,98,4,70,-1,287,-0.475329302231261,-0.879807964524272,0.996898324843103,0.0787002536527958,-0.530736953191882,0.847536598924553
6,-0.482574519148095,0.318181818181819,247,22,248,442,52,812,-0.501503756751631,0.865155466932967,-0.501503756751631,-0.865155466932967,1.0,-0.0
7,-0.287878787878788,-0.482574519148095,279,105,280,93,95,576,-0.865155466932968,-0.50150375675163,0.865155466932966,-0.501503756751633,0.0,1.0
8,-0.491287259574047,0.151515151515152,253,27,28,61,-1,172,0.501503756751631,0.865155466932967,-1.0,-0.0,0.501503756751631,-0.865155466932968
9,-0.0303030303030299,0.491287259574048,228,74,75,366,-1,30,0.865155466932967,-0.501503756751632,0.0,1.0,-0.865155466932968,-0.501503756751631
10,0.192690980465661,-0.0796292665165219,195,132,133,265,-1,273,0.783537341839523,0.621344698169265,-0.923872970657515,0.382699273697322,0.143313474659734,-0.989677345391393
11,0.46514903829619,0.318181818181818,488,330,331,738,255,294,-0.501503756751637,-0.865155466932964,1.0,-3.66373598126301e-15,-0.501503756751629,0.865155466932969
12,0.303030303030303,-0.491287259574047,299,124,125,127,-1,346,-0.865155466932969,0.501503756751629,0.0,-1.0,0.865155466932965,0.501503756751635
